DMS_id,Kermut,ESM-1v Embeddings,MSA Transformer Embeddings,DeepSequence + One-Hot Encodings,ESM-1v + One-Hot Encodings,MSA_Transformer + One-Hot Encodings,Tranception + One-Hot Encodings,TranceptEVE + One-Hot Encodings,One-Hot Encodings,ProteinNPT,Tranception Embeddings
UBE4B_HUMAN_Tsuboyama_2023_3L1X,0.361,0.619,0.545,0.831,0.739,0.795,0.913,0.827,1.086,0.504,1.022
UBE4B_MOUSE_Starita_2013,0.847,0.826,0.985,0.85,0.804,0.996,0.955,0.844,1.083,0.984,0.969
UBR5_HUMAN_Tsuboyama_2023_1I2T,0.411,0.502,0.386,0.925,0.974,0.92,0.769,0.781,1.112,0.386,0.429
VG08_BPP22_Tsuboyama_2023_2GP8,0.361,0.363,0.539,0.993,0.766,0.851,0.797,0.857,1.083,0.478,0.588
VILI_CHICK_Tsuboyama_2023_1YU5,0.384,0.557,0.594,0.749,0.725,0.713,0.873,0.74,1.054,0.606,0.81
VKOR1_HUMAN_Chiasson_2020_abundance,0.523,0.68,0.624,0.854,0.835,0.763,0.692,0.721,1.012,0.601,0.868
VKOR1_HUMAN_Chiasson_2020_activity,0.811,1.074,0.815,0.85,0.82,0.833,0.838,0.811,1.031,0.94,1.019
VRPI_BPT7_Tsuboyama_2023_2WNM,0.225,0.448,0.607,1.073,0.905,0.996,1.102,1.107,1.077,0.581,0.768
YAIA_ECOLI_Tsuboyama_2023_2KVT,0.417,0.671,0.605,0.992,0.962,0.955,0.958,0.922,1.035,0.565,0.866
YAP1_HUMAN_Araya_2012,0.793,1.03,0.944,0.787,1.06,1.172,0.969,0.843,1.133,1.271,1.203
YNZC_BACSU_Tsuboyama_2023_2JVD,0.321,0.588,0.682,1.04,0.84,0.993,1.027,1.033,1.143,0.54,0.94
